Date,Time,Tank,Tank.Quadrant,Experiment.Stage,Light.PAR,Temp.C,Salinity,Conductivity,pH,Initials
20170702,16:00:00,Tank1,6,Acclimation,NA,29.6,37.6,61757,8.03,YZ_JM
20170702,16:00:00,Tank1,7,Acclimation,NA,29.6,37.6,61753,8.03,YZ_JM
20170702,16:00:00,Tank1,8,Acclimation,NA,29.6,37.6,61706,8.04,YZ_JM
20170702,16:00:00,Tank1,9,Acclimation,NA,29.6,37.5,61669,8.04,YZ_JM
20170702,16:05:00,Tank2,1,Acclimation,NA,29.1,37.6,61175,8.04,YZ_JM
20170702,16:05:00,Tank2,2,Acclimation,NA,29.1,37.6,61131,8.03,YZ_JM
20170702,16:05:00,Tank2,3,Acclimation,NA,29.1,37.5,61118,8.03,YZ_JM
20170702,16:05:00,Tank2,4,Acclimation,NA,29,37.5,61119,8.03,YZ_JM
20170702,16:05:00,Tank2,5,Acclimation,NA,29.1,37.5,61120,8.03,YZ_JM
20170702,16:05:00,Tank2,6,Acclimation,NA,29.1,37.5,61118,8.03,YZ_JM
20170702,16:05:00,Tank2,7,Acclimation,NA,29.1,37.5,61120,8.03,YZ_JM
20170702,16:05:00,Tank2,8,Acclimation,NA,29.1,37.5,61123,8.05,YZ_JM
20170702,16:05:00,Tank2,9,Acclimation,NA,29.1,37.5,61112,8.05,YZ_JM
20170702,16:10:00,Tank3,1,Acclimation,NA,31,37.6,63270,8.05,YZ_JM
20170702,16:10:00,Tank3,2,Acclimation,NA,30.9,37.6,63175,8.08,YZ_JM
20170702,16:10:00,Tank3,3,Acclimation,NA,30.8,37.6,63026,8.08,YZ_JM
20170702,16:10:00,Tank3,4,Acclimation,NA,31,37.6,63244,8.07,YZ_JM
20170702,16:10:00,Tank3,5,Acclimation,NA,30.8,37.5,62915,8.07,YZ_JM
20170702,16:10:00,Tank3,6,Acclimation,NA,30.7,37.6,62919,8.07,YZ_JM
20170702,16:10:00,Tank3,7,Acclimation,NA,30.8,37.5,63073,8.07,YZ_JM
20170702,16:10:00,Tank3,8,Acclimation,NA,30.7,37.6,63012,8.07,YZ_JM
20170702,16:10:00,Tank3,9,Acclimation,NA,30.5,37.6,62762,8.07,YZ_JM
20170702,16:15:00,Tank4,1,Acclimation,NA,31,37.7,63539,8.05,YZ_JM
20170702,16:15:00,Tank4,2,Acclimation,NA,31.1,37.7,63544,8.04,YZ_JM
20170702,16:15:00,Tank4,3,Acclimation,NA,31.1,37.7,63529,8.04,YZ_JM
20170702,16:15:00,Tank4,4,Acclimation,NA,31.1,37.7,63587,8.04,YZ_JM
20170702,16:15:00,Tank4,5,Acclimation,NA,31.1,37.7,63590,8.03,YZ_JM
20170702,16:15:00,Tank4,6,Acclimation,NA,31.1,37.7,63563,8.04,YZ_JM
20170702,16:15:00,Tank4,7,Acclimation,NA,31.2,37.7,63599,8.04,YZ_JM
20170702,16:15:00,Tank4,8,Acclimation,NA,31.2,37.7,63593,8.04,YZ_JM
20170702,16:15:00,Tank4,9,Acclimation,NA,31.1,37.7,63561,8.04,YZ_JM
20170703,11:10:00,Tank1,1,Treatment,30,28.6,37.5,60440,7.88,YZ_JM
20170703,11:10:00,Tank1,2,Treatment,32,28.6,37.5,60450,7.9,YZ_JM
20170703,11:10:00,Tank1,3,Treatment,43,28.6,37.5,60448,7.91,YZ_JM
20170703,11:10:00,Tank1,4,Treatment,37,28.6,37.5,60451,7.93,YZ_JM
20170703,11:10:00,Tank1,5,Treatment,48,28.6,37.5,60458,7.94,YZ_JM
20170703,11:10:00,Tank1,6,Treatment,68,28.6,37.5,60466,7.94,YZ_JM
20170703,11:10:00,Tank1,7,Treatment,40,28.5,37.5,60440,7.95,YZ_JM
20170703,11:10:00,Tank1,8,Treatment,54,28.6,37.5,60461,7.95,YZ_JM
20170703,11:10:00,Tank1,9,Treatment,265,28.6,37.5,60463,7.96,YZ_JM
20170703,11:14:00,Tank2,1,Treatment,39,28.6,37.5,60555,7.98,YZ_JM
20170703,11:14:00,Tank2,2,Treatment,44,28.7,37.5,60558,7.97,YZ_JM
20170703,11:14:00,Tank2,3,Treatment,94,28.7,37.5,60564,7.97,YZ_JM
20170703,11:14:00,Tank2,4,Treatment,33,28.7,37.5,60554,7.98,YZ_JM
20170703,11:14:00,Tank2,5,Treatment,38,28.7,37.5,60575,7.98,YZ_JM
20170703,11:14:00,Tank2,6,Treatment,53,28.7,37.5,60573,7.98,YZ_JM
20170703,11:14:00,Tank2,7,Treatment,45,28.7,37.5,60557,7.98,YZ_JM
20170703,11:14:00,Tank2,8,Treatment,81,28.7,37.5,60562,7.99,YZ_JM
20170703,11:14:00,Tank2,9,Treatment,140,28.7,37.5,60566,7.99,YZ_JM
20170703,11:15:00,Tank3,1,Treatment,54,28.8,37.5,60724,7.99,YZ_JM
20170703,11:15:00,Tank3,2,Treatment,93,28.9,37.5,60765,7.99,YZ_JM
20170703,11:15:00,Tank3,3,Treatment,250,28.9,37.5,60798,7.99,YZ_JM
20170703,11:15:00,Tank3,4,Treatment,78,28.9,37.5,60784,8,YZ_JM
20170703,11:15:00,Tank3,5,Treatment,487,28.9,37.5,60796,8,YZ_JM
20170703,11:15:00,Tank3,6,Treatment,99,28.9,37.5,60783,8,YZ_JM
20170703,11:15:00,Tank3,7,Treatment,70,28.9,37.5,60774,8.01,YZ_JM
20170703,11:15:00,Tank3,8,Treatment,466,28.9,37.5,60809,8.01,YZ_JM
20170703,11:15:00,Tank3,9,Treatment,271,28.9,37.5,60804,8.01,YZ_JM
20170703,11:18:00,Tank4,1,Treatment,50,28.8,37.5,60774,8.01,YZ_JM
20170703,11:18:00,Tank4,2,Treatment,78,28.8,37.5,60728,8.01,YZ_JM
20170703,11:18:00,Tank4,3,Treatment,148,28.9,37.5,60729,8.01,YZ_JM
20170703,11:18:00,Tank4,4,Treatment,412,28.9,37.5,60747,8.01,YZ_JM
20170703,11:18:00,Tank4,5,Treatment,530,28.9,37.5,60774,8,YZ_JM
20170703,11:18:00,Tank4,6,Treatment,466,28.9,37.5,60785,8,YZ_JM
20170703,11:18:00,Tank4,7,Treatment,71,28.9,37.5,60738,8.01,YZ_JM
20170703,11:18:00,Tank4,8,Treatment,488,28.9,37.5,60784,8.01,YZ_JM
20170703,11:18:00,Tank4,9,Treatment,503,28.9,37.5,60821,8.01,YZ_JM
20170703,17:16:00,Tank1,1,Treatment,33,29,37.5,61889,7.47,YZ_JM
20170703,17:16:00,Tank1,2,Treatment,32,29,37.5,60888,7.59,YZ_JM
20170703,17:16:00,Tank1,3,Treatment,31,29,37.5,60891,7.7,YZ_JM
20170703,17:16:00,Tank1,4,Treatment,36,28.9,37.5,60886,7.84,YZ_JM
20170703,17:16:00,Tank1,5,Treatment,34,29,37.5,60885,7.87,YZ_JM
20170703,17:16:00,Tank1,6,Treatment,37,29,37.5,60881,7.89,YZ_JM
20170703,17:16:00,Tank1,7,Treatment,26,29,37.5,60883,7.92,YZ_JM
20170703,17:16:00,Tank1,8,Treatment,13,29,37.5,60876,7.93,YZ_JM
20170703,17:16:00,Tank1,9,Treatment,20,29,37.5,60883,7.95,YZ_JM
20170703,17:19:00,Tank2,1,Treatment,42,28.8,37.5,60764,7.96,YZ_JM
20170703,17:19:00,Tank2,2,Treatment,68,28.9,37.5,60779,7.97,YZ_JM
20170703,17:19:00,Tank2,3,Treatment,74,28.9,37.5,60778,7.97,YZ_JM
20170703,17:19:00,Tank2,4,Treatment,34,28.9,37.5,60775,7.98,YZ_JM
20170703,17:19:00,Tank2,5,Treatment,45,28.9,37.5,60777,7.98,YZ_JM
20170703,17:19:00,Tank2,6,Treatment,36,28.9,37.5,60774,7.98,YZ_JM
20170703,17:19:00,Tank2,7,Treatment,28,28.9,37.5,60775,7.99,YZ_JM
20170703,17:19:00,Tank2,8,Treatment,31,28.9,37.5,60777,7.99,YZ_JM
20170703,17:19:00,Tank2,9,Treatment,26,28.9,37.5,60776,7.99,YZ_JM
20170703,17:25:00,Tank3,1,Treatment,40,30.2,37.5,62382,7.99,YZ_JM
20170703,17:25:00,Tank3,2,Treatment,93,30.1,37.5,62412,8,YZ_JM
20170703,17:25:00,Tank3,3,Treatment,52,30.3,37.5,62466,8.01,YZ_JM
20170703,17:25:00,Tank3,4,Treatment,42,30.3,37.5,62451,8.01,YZ_JM
20170703,17:25:00,Tank3,5,Treatment,57,30.3,37.5,62498,8.02,YZ_JM
20170703,17:25:00,Tank3,6,Treatment,58,30.3,37.5,62512,8.02,YZ_JM
20170703,17:25:00,Tank3,7,Treatment,36,30.1,37.6,62394,8.03,YZ_JM
20170703,17:25:00,Tank3,8,Treatment,40,30.3,37.5,62422,8.03,YZ_JM
20170703,17:25:00,Tank3,9,Treatment,65,30.3,37.5,62426,8.03,YZ_JM
20170703,11:18:00,Tank4,1,Treatment,41,29.9,37.6,62027,8.03,YZ_JM
20170703,11:18:00,Tank4,2,Treatment,48,29.9,37.6,62014,8.02,YZ_JM
20170703,11:18:00,Tank4,3,Treatment,55,29.9,37.6,61970,8.02,YZ_JM
20170703,11:18:00,Tank4,4,Treatment,42,29.9,37.6,62040,8.02,YZ_JM
20170703,11:18:00,Tank4,5,Treatment,46,29.9,37.5,61991,8.02,YZ_JM
20170703,11:18:00,Tank4,6,Treatment,38,29.9,37.5,61959,8.02,YZ_JM
20170703,11:18:00,Tank4,7,Treatment,38,29.9,37.6,61999,8.02,YZ_JM
20170703,11:18:00,Tank4,8,Treatment,45,29.9,37.5,61992,8.02,YZ_JM
20170703,11:18:00,Tank4,9,Treatment,42,29.8,37.6,61940,8.02,YZ_JM
20170704,8:56:00,Tank1,1,Treatment,20,28.5,37.3,60093,7.96,YZ_JM
20170704,8:56:00,Tank1,2,Treatment,23,28.4,37.4,60111,7.97,YZ_JM
20170704,8:56:00,Tank1,3,Treatment,30,28.5,37.3,60118,7.98,YZ_JM
20170704,8:56:00,Tank1,4,Treatment,27,28.5,37.4,60104,7.98,YZ_JM
20170704,8:56:00,Tank1,5,Treatment,44,28.5,37.4,60133,7.98,YZ_JM
20170704,8:56:00,Tank1,6,Treatment,50,28.5,37.3,60123,7.98,YZ_JM
20170704,8:56:00,Tank1,7,Treatment,38,28.4,37.4,60112,7.98,YZ_JM
20170704,8:56:00,Tank1,8,Treatment,37,28.5,37.3,60114,7.98,YZ_JM
20170704,8:56:00,Tank1,9,Treatment,39,28.5,37.3,60110,7.98,YZ_JM
20170704,8:59:00,Tank2,1,Treatment,22,28.5,37.3,60189,7.98,YZ_JM
20170704,8:59:00,Tank2,2,Treatment,43,28.6,37.3,60182,7.98,YZ_JM
20170704,8:59:00,Tank2,3,Treatment,31,28.6,37.3,60188,7.98,YZ_JM
20170704,8:59:00,Tank2,4,Treatment,43,28.6,37.3,60181,7.99,YZ_JM
20170704,8:59:00,Tank2,5,Treatment,60,28.6,37.3,60175,7.99,YZ_JM
20170704,8:59:00,Tank2,6,Treatment,120,28.6,37.3,60180,7.99,YZ_JM
20170704,8:59:00,Tank2,7,Treatment,23,28.5,37.4,60183,7.99,YZ_JM
20170704,8:59:00,Tank2,8,Treatment,47,28.6,37.3,60181,7.99,YZ_JM
20170704,8:59:00,Tank2,9,Treatment,198,28.6,37.3,60182,7.99,YZ_JM
20170704,9:01:00,Tank3,1,Treatment,19,28.9,37.4,60603,7.98,YZ_JM
20170704,9:01:00,Tank3,2,Treatment,24,28.9,37.4,60631,7.97,YZ_JM
20170704,9:01:00,Tank3,3,Treatment,32,28.9,37.4,60615,7.98,YZ_JM
20170704,9:01:00,Tank3,4,Treatment,31,28.9,37.4,60644,7.98,YZ_JM
20170704,9:01:00,Tank3,5,Treatment,40,28.9,37.4,60636,7.98,YZ_JM
20170704,9:01:00,Tank3,6,Treatment,60,28.9,37.4,60633,7.98,YZ_JM
20170704,9:01:00,Tank3,7,Treatment,36,28.9,37.4,60634,7.98,YZ_JM
20170704,9:01:00,Tank3,8,Treatment,44,28.9,37.4,60629,7.98,YZ_JM
20170704,9:01:00,Tank3,9,Treatment,56,28.9,37.4,60623,7.98,YZ_JM
20170704,9:04:00,Tank4,1,Treatment,21,28.5,37.4,60226,7.97,YZ_JM
20170704,9:04:00,Tank4,2,Treatment,20,28.5,37.5,60241,7.96,YZ_JM
20170704,9:04:00,Tank4,3,Treatment,28,28.5,37.4,60270,7.96,YZ_JM
20170704,9:04:00,Tank4,4,Treatment,36,28.5,37.4,60227,7.96,YZ_JM
20170704,9:04:00,Tank4,5,Treatment,40,28.5,37.4,60225,7.96,YZ_JM
20170704,9:04:00,Tank4,6,Treatment,38,28.5,37.4,60217,7.96,YZ_JM
20170704,9:04:00,Tank4,7,Treatment,35,28.5,37.4,60218,7.96,YZ_JM
20170704,9:04:00,Tank4,8,Treatment,27,28.5,37.4,60219,7.96,YZ_JM
20170704,9:04:00,Tank4,9,Treatment,34,28.4,37.4,60216,7.96,YZ_JM
20170704,14:22:00,Tank1,1,Treatment,123,28.8,37.3,60404,7.91,YZ_JM
20170704,14:22:00,Tank1,2,Treatment,119,28.8,37.3,60389,7.95,YZ_JM
20170704,14:22:00,Tank1,3,Treatment,78,28.8,37.3,60407,7.96,YZ_JM
20170704,14:22:00,Tank1,4,Treatment,114,28.8,37.3,60389,7.97,YZ_JM
20170704,14:22:00,Tank1,5,Treatment,130,28.8,37.3,60388,7.99,YZ_JM
20170704,14:22:00,Tank1,6,Treatment,125,28.8,37.3,60401,7.99,YZ_JM
20170704,14:22:00,Tank1,7,Treatment,112,28.8,37.3,60398,8,YZ_JM
20170704,14:22:00,Tank1,8,Treatment,95,28.8,37.3,60402,8,YZ_JM
20170704,14:22:00,Tank1,9,Treatment,84,28.8,37.3,60388,8.01,YZ_JM
20170704,14:48:00,Tank2,1,Treatment,83,28.7,37.3,60325,7.89,YZ_JM
20170704,14:48:00,Tank2,2,Treatment,122,28.7,37.3,60322,7.92,YZ_JM
20170704,14:48:00,Tank2,3,Treatment,76,28.8,37.3,60365,7.93,YZ_JM
20170704,14:48:00,Tank2,4,Treatment,101,28.7,37.3,60345,7.94,YZ_JM
20170704,14:48:00,Tank2,5,Treatment,117,28.8,37.3,60358,7.94,YZ_JM
20170704,14:48:00,Tank2,6,Treatment,120,28.8,37.3,60353,7.95,YZ_JM
20170704,14:48:00,Tank2,7,Treatment,65,28.8,37.3,60336,7.95,YZ_JM
20170704,14:48:00,Tank2,8,Treatment,82,28.8,37.3,60343,7.95,YZ_JM
20170704,14:48:00,Tank2,9,Treatment,75,28.8,37.3,60344,7.95,YZ_JM
20170704,14:53:00,Tank3,1,Treatment,76,30.1,37.3,61966,7.98,YZ_JM
20170704,14:53:00,Tank3,2,Treatment,73,30.2,37.3,61966,7.98,YZ_JM
20170704,14:53:00,Tank3,3,Treatment,85,30.1,37.3,61998,7.99,YZ_JM
20170704,14:53:00,Tank3,4,Treatment,100,30.2,37.3,61988,8,YZ_JM
20170704,14:53:00,Tank3,5,Treatment,95,30.2,37.3,61999,8,YZ_JM
20170704,14:53:00,Tank3,6,Treatment,88,30.2,37.3,62018,8.01,YZ_JM
20170704,14:53:00,Tank3,7,Treatment,77,30.2,37.3,62011,8.01,YZ_JM
20170704,14:53:00,Tank3,8,Treatment,69,30.2,37.3,62914,8.01,YZ_JM
20170704,14:53:00,Tank3,9,Treatment,82,30.2,37.3,62611,8.02,YZ_JM
20170704,14:55:00,Tank4,1,Treatment,91,29.6,37.4,61475,8.01,YZ_JM
20170704,14:55:00,Tank4,2,Treatment,79,29.7,37.4,61515,8,YZ_JM
20170704,14:55:00,Tank4,3,Treatment,90,29.7,37.4,61577,8,YZ_JM
20170704,14:55:00,Tank4,4,Treatment,108,29.7,37.4,61498,8,YZ_JM
20170704,14:55:00,Tank4,5,Treatment,115,29.7,37.4,61487,8,YZ_JM
20170704,14:55:00,Tank4,6,Treatment,91,29.7,37.4,61508,8,YZ_JM
20170704,14:55:00,Tank4,7,Treatment,82,29.6,37.4,61484,8,YZ_JM
20170704,14:55:00,Tank4,8,Treatment,75,29.7,37.4,61566,8,YZ_JM
20170704,14:55:00,Tank4,9,Treatment,79,29.6,37.4,61459,8,YZ_JM
20170705,10:24:00,Tank1,1,Treatment,40,28.2,37.2,59554,7.86,YZ_JM
20170705,10:24:00,Tank1,2,Treatment,50,28.2,37.2,59564,7.88,YZ_JM
20170705,10:24:00,Tank1,3,Treatment,51,28.2,37.2,59567,7.9,YZ_JM
20170705,10:24:00,Tank1,4,Treatment,45,28.2,37.2,59570,7.92,YZ_JM
20170705,10:24:00,Tank1,5,Treatment,46,28.2,37.2,59577,7.93,YZ_JM
20170705,10:24:00,Tank1,6,Treatment,101,28.2,37.2,59582,7.94,YZ_JM
20170705,10:24:00,Tank1,7,Treatment,40,28.2,37.2,59569,7.95,YZ_JM
20170705,10:24:00,Tank1,8,Treatment,47,28.2,37.2,59580,7.96,YZ_JM
20170705,10:24:00,Tank1,9,Treatment,219,28.2,37.2,59582,7.96,YZ_JM
20170705,10:28:00,Tank2,1,Treatment,38,28.4,37.3,60000,7.97,YZ_JM
20170705,10:28:00,Tank2,2,Treatment,59,28.4,37.4,60028,7.97,YZ_JM
20170705,10:28:00,Tank2,3,Treatment,81,28.4,37.4,60040,7.98,YZ_JM
20170705,10:28:00,Tank2,4,Treatment,37,28.4,37.4,60026,7.98,YZ_JM
20170705,10:28:00,Tank2,5,Treatment,57,28.4,37.4,60019,7.98,YZ_JM
20170705,10:28:00,Tank2,6,Treatment,490,28.4,37.4,60040,7.98,YZ_JM
20170705,10:28:00,Tank2,7,Treatment,20,28.4,37.4,60043,7.99,YZ_JM
20170705,10:28:00,Tank2,8,Treatment,44,28.4,37.4,60029,7.99,YZ_JM
20170705,10:28:00,Tank2,9,Treatment,437,28.4,37.4,60046,7.99,YZ_JM
20170705,10:31:00,Tank3,1,Treatment,44,28.4,36.9,59350,7.99,YZ_JM
20170705,10:31:00,Tank3,2,Treatment,63,28.4,36.9,59377,7.99,YZ_JM
20170705,10:31:00,Tank3,3,Treatment,72,28.5,36.9,59411,7.99,YZ_JM
20170705,10:31:00,Tank3,4,Treatment,73,28.5,36.9,59407,7.99,YZ_JM
20170705,10:31:00,Tank3,5,Treatment,80,28.5,36.9,59414,7.99,YZ_JM
20170705,10:31:00,Tank3,6,Treatment,350,28.5,36.9,59429,7.99,YZ_JM
20170705,10:31:00,Tank3,7,Treatment,52,28.5,36.9,59422,7.99,YZ_JM
20170705,10:31:00,Tank3,8,Treatment,50,28.5,36.9,59418,8,YZ_JM
20170705,10:31:00,Tank3,9,Treatment,463,28.5,36.9,59449,8,YZ_JM
20170705,10:34:00,Tank4,1,Treatment,40,27.8,36.6,58347,8.01,YZ_JM
20170705,10:34:00,Tank4,2,Treatment,60,27.9,36.6,58338,8,YZ_JM
20170705,10:34:00,Tank4,3,Treatment,81,27.9,36.6,58329,8,YZ_JM
20170705,10:34:00,Tank4,4,Treatment,62,27.9,36.6,58348,8,YZ_JM
20170705,10:34:00,Tank4,5,Treatment,115,27.9,36.6,58356,8,YZ_JM
20170705,10:34:00,Tank4,6,Treatment,273,27.9,36.6,58398,8,YZ_JM
20170705,10:34:00,Tank4,7,Treatment,65,27.9,36.6,58350,8,YZ_JM
20170705,10:34:00,Tank4,8,Treatment,382,27.9,36.6,58388,8,YZ_JM
20170705,10:34:00,Tank4,9,Treatment,375,28,36.6,58520,8,YZ_JM
20170705,17:37:00,Tank1,1,Treatment,55,29,37.3,60565,7.94,YZ_JM
20170705,17:37:00,Tank1,2,Treatment,61,29,37.3,60565,7.95,YZ_JM
20170705,17:37:00,Tank1,3,Treatment,32,29,37.3,60570,7.97,YZ_JM
20170705,17:37:00,Tank1,4,Treatment,60,29,37.3,60560,7.98,YZ_JM
20170705,17:37:00,Tank1,5,Treatment,65,29,37.3,60565,7.99,YZ_JM
20170705,17:37:00,Tank1,6,Treatment,46,29,37.3,60562,8.01,YZ_JM
20170705,17:37:00,Tank1,7,Treatment,50,29,37.3,60548,8.02,YZ_JM
20170705,17:37:00,Tank1,8,Treatment,37,29,37.3,60566,8.04,YZ_JM
20170705,17:37:00,Tank1,9,Treatment,40,29,37.3,60511,8.03,YZ_JM
20170705,17:41:00,Tank2,1,Treatment,54,28.8,37.2,60286,8.05,YZ_JM
20170705,17:41:00,Tank2,2,Treatment,43,28.8,37.2,60288,8.04,YZ_JM
20170705,17:41:00,Tank2,3,Treatment,30,28.8,37.2,60288,8.03,YZ_JM
20170705,17:41:00,Tank2,4,Treatment,59,28.8,37.2,60284,8.03,YZ_JM
20170705,17:41:00,Tank2,5,Treatment,55,28.8,37.2,60285,8.03,YZ_JM
20170705,17:41:00,Tank2,6,Treatment,59,28.8,37.2,60280,8.03,YZ_JM
20170705,17:41:00,Tank2,7,Treatment,30,28.7,37.3,60279,8.03,YZ_JM
20170705,17:41:00,Tank2,8,Treatment,40,28.8,37.2,60376,8.03,YZ_JM
20170705,17:41:00,Tank2,9,Treatment,30,28.8,37.2,60278,8.03,YZ_JM
20170705,17:44:00,Tank3,1,Treatment,50,30.8,37.2,62555,8.02,YZ_JM
20170705,17:44:00,Tank3,2,Treatment,55,30.8,37.2,62526,8.03,YZ_JM
20170705,17:44:00,Tank3,3,Treatment,47,30.8,37.2,62511,8.04,YZ_JM
20170705,17:44:00,Tank3,4,Treatment,77,30.8,37.2,62534,8.05,YZ_JM
20170705,17:44:00,Tank3,5,Treatment,59,30.8,37.2,62525,8.07,YZ_JM
20170705,17:44:00,Tank3,6,Treatment,44,30.8,37.2,62508,8.09,YZ_JM
20170705,17:44:00,Tank3,7,Treatment,57,30.9,37.2,62536,8.11,YZ_JM
20170705,17:44:00,Tank3,8,Treatment,42,30.8,37.2,62516,8.11,YZ_JM
20170705,17:44:00,Tank3,9,Treatment,51,30.8,37.2,62497,8.12,YZ_JM
20170705,17:47:00,Tank4,1,Treatment,44,29.8,37.3,61487,8.13,YZ_JM
20170705,17:47:00,Tank4,2,Treatment,48,29.8,37.3,61475,8.12,YZ_JM
20170705,17:47:00,Tank4,3,Treatment,51,29.8,37.3,61479,8.12,YZ_JM
20170705,17:47:00,Tank4,4,Treatment,52,29.7,37.3,61456,8.12,YZ_JM
20170705,17:47:00,Tank4,5,Treatment,64,29.8,37.3,61465,8.12,YZ_JM
20170705,17:47:00,Tank4,6,Treatment,59,29.8,37.3,61419,8.13,YZ_JM
20170705,17:47:00,Tank4,7,Treatment,44,29.8,37.3,61448,8.13,YZ_JM
20170705,17:47:00,Tank4,8,Treatment,54,29.8,37.3,61408,8.13,YZ_JM
20170705,17:47:00,Tank4,9,Treatment,63,29.8,37.3,61399,8.13,YZ_JM
20170706,8:47:00,Tank2,1,Treatment,49,28.5,37.3,60043,7.91,YZ_JM_KW
20170706,8:47:00,Tank2,2,Treatment,52,28.5,37.3,60056,7.95,YZ_JM_KW
20170706,8:47:00,Tank2,3,Treatment,38,28.5,37.3,60060,7.96,YZ_JM_KW
20170706,8:47:00,Tank2,4,Treatment,54,28.5,37.3,60055,7.97,YZ_JM_KW
20170706,8:47:00,Tank2,5,Treatment,60,28.5,37.3,60057,7.97,YZ_JM_KW
20170706,8:47:00,Tank2,6,Treatment,61,28.5,37.3,60061,7.98,YZ_JM_KW
20170706,8:47:00,Tank2,7,Treatment,30,28.5,37.3,60062,7.98,YZ_JM_KW
20170706,8:47:00,Tank2,8,Treatment,35,28.5,37.3,60059,7.99,YZ_JM_KW
20170706,8:47:00,Tank2,9,Treatment,35,28.5,37.3,60062,7.99,YZ_JM_KW
20170706,8:50:00,Tank4,1,Treatment,47,28.6,37.4,60292,7.99,YZ_JM_KW
20170706,8:50:00,Tank4,2,Treatment,53,28.4,37.4,60318,7.99,YZ_JM_KW
20170706,8:50:00,Tank4,3,Treatment,52,28.5,37.4,60324,7.98,YZ_JM_KW
