Tank,Date,Time,Temp
1,19-Jul-17,4:00:00,28.965
1,19-Jul-17,4:30:00,28.965
1,19-Jul-17,5:00:00,28.941
1,19-Jul-17,5:30:00,28.941
1,19-Jul-17,6:00:00,28.916
1,19-Jul-17,6:30:00,28.916
1,19-Jul-17,7:00:00,28.891
1,19-Jul-17,7:30:00,28.891
1,19-Jul-17,8:00:00,28.891
1,19-Jul-17,8:30:00,28.866
1,19-Jul-17,9:00:00,28.866
1,19-Jul-17,9:30:00,28.791
1,19-Jul-17,10:00:00,28.791
1,19-Jul-17,10:30:00,28.816
1,19-Jul-17,11:00:00,28.866
1,19-Jul-17,11:30:00,28.866
1,19-Jul-17,12:00:00,28.916
1,19-Jul-17,12:30:00,28.99
1,19-Jul-17,13:00:00,29.065
1,19-Jul-17,13:30:00,29.165
1,19-Jul-17,14:00:00,29.24
1,19-Jul-17,14:30:00,29.29
1,19-Jul-17,15:00:00,29.315
1,19-Jul-17,15:30:00,29.265
1,19-Jul-17,16:00:00,29.24
1,19-Jul-17,16:30:00,29.389
1,19-Jul-17,17:00:00,29.414
1,19-Jul-17,17:30:00,29.464
1,19-Jul-17,18:00:00,29.414
1,19-Jul-17,18:30:00,29.389
1,19-Jul-17,19:00:00,29.34
1,19-Jul-17,19:30:00,29.24
1,19-Jul-17,20:00:00,29.29
1,19-Jul-17,20:30:00,29.29
1,19-Jul-17,21:00:00,29.315
1,19-Jul-17,21:30:00,29.34
1,19-Jul-17,22:00:00,29.34
1,19-Jul-17,22:30:00,29.34
1,19-Jul-17,23:00:00,29.34
1,19-Jul-17,23:30:00,29.315
1,20-Jul-17,0:00:00,29.315
1,20-Jul-17,0:30:00,29.315
1,20-Jul-17,1:00:00,29.29
1,20-Jul-17,1:30:00,29.24
1,20-Jul-17,2:00:00,29.24
1,20-Jul-17,2:30:00,29.215
1,20-Jul-17,3:00:00,29.19
1,20-Jul-17,3:30:00,29.165
1,20-Jul-17,4:00:00,29.14
1,20-Jul-17,4:30:00,29.14
1,20-Jul-17,5:00:00,29.115
1,20-Jul-17,5:30:00,29.09
1,20-Jul-17,6:00:00,29.065
1,20-Jul-17,6:30:00,29.065
1,20-Jul-17,7:00:00,29.04
1,20-Jul-17,7:30:00,29.015
1,20-Jul-17,8:00:00,29.04
1,20-Jul-17,8:30:00,29.015
1,20-Jul-17,9:00:00,29.015
1,20-Jul-17,9:30:00,28.99
1,20-Jul-17,10:00:00,28.866
1,20-Jul-17,10:30:00,28.866
1,20-Jul-17,11:00:00,28.866
1,20-Jul-17,11:30:00,28.916
1,20-Jul-17,12:00:00,28.99
1,20-Jul-17,12:30:00,29.09
1,20-Jul-17,13:00:00,29.29
1,20-Jul-17,13:30:00,29.59
1,20-Jul-17,14:00:00,29.615
1,20-Jul-17,14:30:00,29.815
1,20-Jul-17,15:00:00,29.89
1,20-Jul-17,15:30:00,29.941
1,20-Jul-17,16:00:00,30.041
1,20-Jul-17,16:30:00,30.066
1,20-Jul-17,17:00:00,30.117
1,20-Jul-17,17:30:00,29.79
1,20-Jul-17,18:00:00,29.49
1,20-Jul-17,18:30:00,29.464
1,20-Jul-17,19:00:00,29.439
1,20-Jul-17,19:30:00,29.439
1,20-Jul-17,20:00:00,29.464
1,20-Jul-17,20:30:00,29.49
1,20-Jul-17,21:00:00,29.49
1,20-Jul-17,21:30:00,29.49
1,20-Jul-17,22:00:00,29.464
1,20-Jul-17,22:30:00,29.49
1,20-Jul-17,23:00:00,29.464
1,20-Jul-17,23:30:00,29.414
1,21-Jul-17,0:00:00,29.365
1,21-Jul-17,0:30:00,29.439
1,21-Jul-17,1:00:00,29.414
1,21-Jul-17,1:30:00,29.34
1,21-Jul-17,2:00:00,29.365
1,21-Jul-17,2:30:00,29.265
1,21-Jul-17,3:00:00,29.215
1,21-Jul-17,3:30:00,29.24
1,21-Jul-17,4:00:00,29.215
1,21-Jul-17,4:30:00,29.19
1,21-Jul-17,5:00:00,29.19
1,21-Jul-17,5:30:00,29.165
1,21-Jul-17,6:00:00,29.115
1,21-Jul-17,6:30:00,29.09
1,21-Jul-17,7:00:00,29.065
1,21-Jul-17,7:30:00,29.04
1,21-Jul-17,8:00:00,29.065
1,21-Jul-17,8:30:00,29.04
1,21-Jul-17,9:00:00,29.065
1,21-Jul-17,9:30:00,29.015
1,21-Jul-17,10:00:00,28.941
1,21-Jul-17,10:30:00,28.866
1,21-Jul-17,11:00:00,28.891
1,21-Jul-17,11:30:00,28.941
1,21-Jul-17,12:00:00,28.99
1,21-Jul-17,12:30:00,29.04
1,21-Jul-17,13:00:00,29.115
1,21-Jul-17,13:30:00,29.24
1,21-Jul-17,14:00:00,29.389
1,21-Jul-17,14:30:00,29.615
1,21-Jul-17,15:00:00,29.815
1,21-Jul-17,15:30:00,29.89
1,21-Jul-17,16:00:00,29.941
1,21-Jul-17,16:30:00,29.865
1,21-Jul-17,17:00:00,29.916
1,21-Jul-17,17:30:00,29.865
1,21-Jul-17,18:00:00,29.765
1,21-Jul-17,18:30:00,29.64
1,21-Jul-17,19:00:00,29.515
1,21-Jul-17,19:30:00,29.24
1,21-Jul-17,20:00:00,29.24
1,21-Jul-17,20:30:00,29.29
1,21-Jul-17,21:00:00,29.29
1,21-Jul-17,21:30:00,29.315
1,21-Jul-17,22:00:00,29.34
1,21-Jul-17,22:30:00,29.389
1,21-Jul-17,23:00:00,29.389
1,21-Jul-17,23:30:00,29.389
1,22-Jul-17,0:00:00,29.389
1,22-Jul-17,0:30:00,29.389
1,22-Jul-17,1:00:00,29.389
1,22-Jul-17,1:30:00,29.365
1,22-Jul-17,2:00:00,29.365
1,22-Jul-17,2:30:00,29.315
1,22-Jul-17,3:00:00,29.315
1,22-Jul-17,3:30:00,29.29
1,22-Jul-17,4:00:00,29.265
1,22-Jul-17,4:30:00,29.24
1,22-Jul-17,5:00:00,29.215
1,22-Jul-17,5:30:00,29.19
1,22-Jul-17,6:00:00,29.165
1,22-Jul-17,6:30:00,29.14
1,22-Jul-17,7:00:00,29.115
1,22-Jul-17,7:30:00,29.115
1,22-Jul-17,8:00:00,29.14
1,22-Jul-17,8:30:00,29.115
1,22-Jul-17,9:00:00,29.09
1,22-Jul-17,9:30:00,29.115
1,22-Jul-17,10:00:00,29.065
1,22-Jul-17,10:30:00,29.065
1,22-Jul-17,11:00:00,29.09
1,22-Jul-17,11:30:00,29.115
1,22-Jul-17,12:00:00,29.19
1,22-Jul-17,12:30:00,29.24
1,22-Jul-17,13:00:00,29.34
1,22-Jul-17,13:30:00,29.565
1,22-Jul-17,14:00:00,29.865
1,22-Jul-17,14:30:00,29.941
1,22-Jul-17,15:00:00,30.016
1,22-Jul-17,15:30:00,30.117
1,22-Jul-17,16:00:00,30.091
1,22-Jul-17,16:30:00,30.066
1,22-Jul-17,17:00:00,30.066
1,22-Jul-17,17:30:00,30.041
1,22-Jul-17,18:00:00,29.991
1,22-Jul-17,18:30:00,29.865
1,22-Jul-17,19:00:00,29.765
1,22-Jul-17,19:30:00,29.464
1,22-Jul-17,20:00:00,29.54
1,22-Jul-17,20:30:00,29.565
1,22-Jul-17,21:00:00,29.565
1,22-Jul-17,21:30:00,29.59
1,22-Jul-17,22:00:00,29.615
1,22-Jul-17,22:30:00,29.64
1,22-Jul-17,23:00:00,29.64
1,22-Jul-17,23:30:00,29.665
1,23-Jul-17,0:00:00,29.64
1,23-Jul-17,0:30:00,29.615
1,23-Jul-17,1:00:00,29.615
1,23-Jul-17,1:30:00,29.615
1,23-Jul-17,2:00:00,29.615
1,23-Jul-17,2:30:00,29.565
1,23-Jul-17,3:00:00,29.515
1,23-Jul-17,3:30:00,29.49
1,23-Jul-17,4:00:00,29.49
1,23-Jul-17,4:30:00,29.439
1,23-Jul-17,5:00:00,29.414
1,23-Jul-17,5:30:00,29.389
1,23-Jul-17,6:00:00,29.365
1,23-Jul-17,6:30:00,29.315
1,23-Jul-17,7:00:00,29.29
1,23-Jul-17,7:30:00,29.29
1,23-Jul-17,8:00:00,29.29
1,23-Jul-17,8:30:00,29.315
1,23-Jul-17,9:00:00,29.29
1,23-Jul-17,9:30:00,29.24
1,23-Jul-17,10:00:00,29.215
1,23-Jul-17,10:30:00,29.215
1,23-Jul-17,11:00:00,29.19
1,23-Jul-17,11:30:00,29.24
1,23-Jul-17,12:00:00,29.29
1,23-Jul-17,12:30:00,29.389
1,23-Jul-17,13:00:00,29.54
1,23-Jul-17,13:30:00,29.715
1,23-Jul-17,14:00:00,29.941
1,23-Jul-17,14:30:00,30.066
1,23-Jul-17,15:00:00,30.142
1,23-Jul-17,15:30:00,30.142
1,23-Jul-17,16:00:00,30.192
1,23-Jul-17,16:30:00,30.167
1,23-Jul-17,17:00:00,30.243
1,23-Jul-17,17:30:00,30.167
1,23-Jul-17,18:00:00,30.117
1,23-Jul-17,18:30:00,29.991
1,23-Jul-17,19:00:00,29.69
1,23-Jul-17,19:30:00,29.615
1,23-Jul-17,20:00:00,29.64
1,23-Jul-17,20:30:00,29.69
1,23-Jul-17,21:00:00,29.715
1,23-Jul-17,21:30:00,29.69
1,23-Jul-17,22:00:00,29.69
1,23-Jul-17,22:30:00,29.69
1,23-Jul-17,23:00:00,29.665
1,23-Jul-17,23:30:00,29.665
1,24-Jul-17,0:00:00,29.665
1,24-Jul-17,0:30:00,29.64
1,24-Jul-17,1:00:00,29.615
1,24-Jul-17,1:30:00,29.615
1,24-Jul-17,2:00:00,29.59
1,24-Jul-17,2:30:00,29.565
1,24-Jul-17,3:00:00,29.54
1,24-Jul-17,3:30:00,29.515
1,24-Jul-17,4:00:00,29.515
1,24-Jul-17,4:30:00,29.49
1,24-Jul-17,5:00:00,29.439
1,24-Jul-17,5:30:00,29.414
1,24-Jul-17,6:00:00,29.389
1,24-Jul-17,6:30:00,29.365
1,24-Jul-17,7:00:00,29.34
1,24-Jul-17,7:30:00,29.365
1,24-Jul-17,8:00:00,29.34
1,24-Jul-17,8:30:00,29.29
1,24-Jul-17,9:00:00,29.265
1,24-Jul-17,9:30:00,29.265
1,24-Jul-17,10:00:00,29.215
1,24-Jul-17,10:30:00,29.215
1,24-Jul-17,11:00:00,29.215
1,24-Jul-17,11:30:00,29.24
1,24-Jul-17,12:00:00,29.265
1,24-Jul-17,12:30:00,29.34
1,24-Jul-17,13:00:00,29.365
1,24-Jul-17,13:30:00,29.49
1,24-Jul-17,14:00:00,29.84
1,24-Jul-17,14:30:00,29.765
1,24-Jul-17,15:00:00,29.84
1,24-Jul-17,15:30:00,29.865
1,24-Jul-17,16:00:00,29.865
1,24-Jul-17,16:30:00,29.865
1,24-Jul-17,17:00:00,29.966
1,24-Jul-17,17:30:00,29.79
1,24-Jul-17,18:00:00,29.916
1,24-Jul-17,18:30:00,29.74
1,24-Jul-17,19:00:00,29.665
1,24-Jul-17,19:30:00,29.615
1,24-Jul-17,20:00:00,29.59
1,24-Jul-17,20:30:00,29.615
1,24-Jul-17,21:00:00,29.615
1,24-Jul-17,21:30:00,29.565
1,24-Jul-17,22:00:00,29.59
1,24-Jul-17,22:30:00,29.54
1,24-Jul-17,23:00:00,29.54
1,24-Jul-17,23:30:00,29.515
1,25-Jul-17,0:00:00,29.49
1,25-Jul-17,0:30:00,29.464
