"","Vial","Date","Run","Well","Sample.Type","Concentration","abs","DL1","ConcentrationS","Conc.calcS"
"126",131,20181121,3,"D9","Sample",NA,0.419,4,332.344627773233,66.4689255546465
"127",133,20181121,3,"D10","Sample",NA,0.35,4,252.448734604792,50.4897469209585
"128",133,20181121,3,"D11","Sample",NA,0.384,4,291.817725441415,58.363545088283
"129",133,20181121,3,"D12","Sample",NA,0.399,4,309.186397869337,61.8372795738674
"130",134,20181121,3,"E1","Sample",NA,0.252,4,138.973408075703,27.7946816151406
"131",134,20181121,3,"E2","Sample",NA,0.258,4,145.920877046872,29.1841754093743
"132",134,20181121,3,"E3","Sample",NA,0.27,4,159.815814989209,31.9631629978418
"133",136,20181121,3,"E4","Sample",NA,0.265,4,154.026257513235,30.805251502647
"134",136,20181121,3,"E5","Sample",NA,0.293,4,186.447779378689,37.2895558757378
"135",136,20181121,3,"E6","Sample",NA,0.297,4,191.079425359468,38.2158850718937
"136",137,20181121,3,"E7","Sample",NA,0.254,4,141.289231066092,28.2578462132185
"137",137,20181121,3,"E8","Sample",NA,0.254,4,141.289231066092,28.2578462132185
"138",137,20181121,3,"E9","Sample",NA,0.254,4,141.289231066092,28.2578462132185
"139",139,20181121,3,"E10","Sample",NA,0.225,4,107.709797705444,21.5419595410887
"140",139,20181121,3,"E11","Sample",NA,0.238,4,122.762647142976,24.5525294285952
"141",139,20181121,3,"E12","Sample",NA,0.243,4,128.55220461895,25.7104409237899
"142",140,20181121,3,"F1","Sample",NA,0.3,4,194.553159845053,38.9106319690106
"143",140,20181121,3,"F2","Sample",NA,0.306,4,201.500628816222,40.3001257632443
"144",140,20181121,3,"F3","Sample",NA,0.317,4,214.237655263364,42.8475310526728
"145",142,20181121,3,"F4","Sample",NA,0.239,4,123.920558638171,24.7841117276341
"146",142,20181121,3,"F5","Sample",NA,0.26,4,148.236700037261,29.6473400074522
"147",142,20181121,3,"F6","Sample",NA,0.261,4,149.394611532456,29.8789223064912
"148",143,20181121,3,"F7","Sample",NA,0.229,4,112.341443686223,22.4682887372445
"149",143,20181121,3,"F8","Sample",NA,0.219,4,100.762328734275,20.152465746855
"150",143,20181121,3,"F9","Sample",NA,0.241,4,126.23638162856,25.247276325712
"151",145,20181121,3,"F10","Sample",NA,0.5,4,426.135458884011,85.2270917768021
"152",145,20181121,3,"F11","Sample",NA,0.501,4,427.293370379205,85.4586740758411
"153",145,20181121,3,"F12","Sample",NA,0.493,4,418.030078417647,83.6060156835294
"154",146,20181121,3,"G1","Sample",NA,0.479,4,401.81931748492,80.363863496984
"155",146,20181121,3,"G2","Sample",NA,0.515,4,443.504131311932,88.7008262623865
"156",146,20181121,3,"G3","Sample",NA,0.524,4,453.925334768686,90.7850669537371
"157",148,20181121,3,"G4","Sample",NA,0.24,4,125.078470133365,25.0156940266731
"158",148,20181121,3,"G5","Sample",NA,0.285,4,177.184487417131,35.4368974834262
"159",148,20181121,3,"G6","Sample",NA,0.275,4,165.605372465183,33.1210744930366
"160",149,20181121,3,"G7","Sample",NA,0.263,4,151.710434522846,30.3420869045691
"161",149,20181121,3,"G8","Sample",NA,0.293,4,186.447779378689,37.2895558757378
"162",149,20181121,3,"G9","Sample",NA,0.296,4,189.921513864274,37.9843027728547
"163",151,20181121,3,"G10","Sample",NA,0.295,4,188.763602369079,37.7527204738158
"164",151,20181121,3,"G11","Sample",NA,0.206,4,85.7094792967425,17.1418958593485
"165",151,20181121,3,"G12","Sample",NA,0.202,4,81.0778333159634,16.2155666631927
"166",152,20181121,3,"H1","Sample",NA,0.491,4,415.714255427258,83.1428510854515
"167",152,20181121,3,"H2","Sample",NA,0.44,4,356.660769172323,71.3321538344647
"168",152,20181121,3,"H3","Sample",NA,0.451,4,369.397795619466,73.8795591238932
"169",154,20181121,3,"H4","Sample",NA,0.31,4,206.132274797001,41.2264549594001
"170",154,20181121,3,"H5","Sample",NA,0.327,4,225.816770215312,45.1633540430624
"171",154,20181121,3,"H6","Sample",NA,0.299,4,193.395248349858,38.6790496699716
"172",155,20181121,3,"H7","Sample",NA,0.377,4,283.712344975052,56.7424689950103
"173",155,20181121,3,"H8","Sample",NA,0.399,4,309.186397869337,61.8372795738674
"174",155,20181121,3,"H9","Sample",NA,0.408,4,319.60760132609,63.921520265218
"175",178,20181121,3,"H10","Sample",NA,0.355,4,258.238292080766,51.6476584161532
"176",178,20181121,3,"H11","Sample",NA,0.354,4,257.080380585571,51.4160761171143
"177",178,20181121,3,"H12","Sample",NA,0.36,4,264.02784955674,52.805569911348
"178",179,20181123,4,"C4","Sample",NA,0.3,4,153.019769033761,30.6039538067522
"179",179,20181123,4,"C5","Sample",NA,0.277,4,131.126089773687,26.2252179547374
"180",179,20181123,4,"C6","Sample",NA,0.319,4,171.105851900779,34.2211703801558
"181",181,20181123,4,"C7","Sample",NA,0.284,4,137.789383461536,27.5578766923071
"182",181,20181123,4,"C8","Sample",NA,0.294,4,147.308374444177,29.4616748888353
"183",181,20181123,4,"C9","Sample",NA,0.296,4,149.212172640705,29.842434528141
"184",182,20181123,4,"C10","Sample",NA,0.355,4,205.374219438286,41.0748438876572
"185",182,20181123,4,"C11","Sample",NA,0.388,4,236.786889681001,47.3573779362002
"186",182,20181123,4,"C12","Sample",NA,0.394,4,242.498284270585,48.4996568541171
"187",184,20181123,4,"D1","Sample",NA,0.31,4,162.538760016402,32.5077520032804
"188",184,20181123,4,"D2","Sample",NA,0.332,4,183.480540178212,36.6961080356424
"189",184,20181123,4,"D3","Sample",NA,0.34,4,191.095732964325,38.2191465928649
"190",185,20181123,4,"D4","Sample",NA,0.31,4,162.538760016402,32.5077520032804
"191",185,20181123,4,"D5","Sample",NA,0.319,4,171.105851900779,34.2211703801558
"192",185,20181123,4,"D6","Sample",NA,0.328,4,179.672943785156,35.9345887570311
"193",187,20181123,4,"D7","Sample",NA,0.245,4,100.665318629236,20.1330637258472
"194",187,20181123,4,"D8","Sample",NA,0.256,4,111.136208710141,22.2272417420282
"195",187,20181123,4,"D9","Sample",NA,0.265,4,119.703300594518,23.9406601189036
"196",188,20181123,4,"D10","Sample",NA,0.278,4,132.077988871951,26.4155977743902
"197",188,20181123,4,"D11","Sample",NA,0.293,4,146.356475345912,29.2712950691825
"198",188,20181123,4,"D12","Sample",NA,0.287,4,140.645080756328,28.1290161512656
"199",190,20181123,4,"E1","Sample",NA,0.384,4,232.979293287945,46.5958586575889
"200",190,20181123,4,"E2","Sample",NA,0.415,4,262.488165334131,52.4976330668263
"201",190,20181123,4,"E3","Sample",NA,0.397,4,245.353981565378,49.0707963130756
"202",191,20181123,4,"E4","Sample",NA,0.241,4,96.8577222361798,19.371544447236
"203",191,20181123,4,"E5","Sample",NA,0.261,4,115.895704201462,23.1791408402923
"204",191,20181123,4,"E6","Sample",NA,0.26,4,114.943805103198,22.9887610206395
"205",193,20181123,4,"E7","Sample",NA,0.2,4,57.8298592073522,11.5659718414704
"206",193,20181123,4,"E8","Sample",NA,0.218,4,74.9640429761058,14.9928085952212
"207",193,20181123,4,"E9","Sample",NA,0.217,4,74.0121438778417,14.8024287755683
"208",194,20181123,4,"E10","Sample",NA,0.214,4,71.1564465830494,14.2312893166099
"209",194,20181123,4,"E11","Sample",NA,0.226,4,82.5792357622185,16.5158471524437
"210",194,20181123,4,"E12","Sample",NA,0.227,4,83.5311348604826,16.7062269720965
"211",196,20181123,4,"F1","Sample",NA,0.248,4,103.521015924028,20.7042031848057
"212",196,20181123,4,"F2","Sample",NA,0.259,4,113.991906004933,22.7983812009867
"213",196,20181123,4,"F3","Sample",NA,0.266,4,120.655199692782,24.1310399385564
"214",197,20181123,4,"F4","Sample",NA,0.289,4,142.548878952856,28.5097757905712
"215",197,20181123,4,"F5","Sample",NA,0.322,4,173.961549195571,34.7923098391142
"216",197,20181123,4,"F6","Sample",NA,0.326,4,177.769145588627,35.5538291177255
"217",199,20181123,4,"F7","Sample",NA,0.322,4,173.961549195571,34.7923098391142
"218",199,20181123,4,"F8","Sample",NA,0.34,4,191.095732964325,38.2191465928649
"219",199,20181123,4,"F9","Sample",NA,0.349,4,199.662824848701,39.9325649697403
"220",200,20181123,4,"F10","Sample",NA,0.234,4,90.1944285483312,18.0388857096662
"221",200,20181123,4,"F11","Sample",NA,0.245,4,100.665318629236,20.1330637258472
"222",200,20181123,4,"F12","Sample",NA,0.255,4,110.184309611877,22.0368619223754
"223",224,20181123,4,"G1","Sample",NA,0.32,4,172.057750999043,34.4115501998086
"224",224,20181123,4,"G2","Sample",NA,0.331,4,182.528641079948,36.5057282159896
"225",224,20181123,4,"G3","Sample",NA,0.337,4,188.240035669532,37.6480071339065
"226",225,20181123,4,"G4","Sample",NA,0.285,4,138.7412825598,27.74825651196
"227",225,20181123,4,"G5","Sample",NA,0.305,4,157.779264525082,31.5558529050163
"228",225,20181123,4,"G6","Sample",NA,0.285,4,138.7412825598,27.74825651196
"229",227,20181123,4,"G7","Sample",NA,0.294,4,147.308374444177,29.4616748888353
"230",227,20181123,4,"G8","Sample",NA,0.315,4,167.298255507722,33.4596511015445
"231",227,20181123,4,"G9","Sample",NA,0.312,4,164.44255821293,32.888511642586
"232",228,20181123,4,"G10","Sample",NA,0.281,4,134.933686166743,26.9867372333487
"233",228,20181123,4,"G11","Sample",NA,0.305,4,157.779264525082,31.5558529050163
"234",228,20181123,4,"G12","Sample",NA,0.31,4,162.538760016402,32.5077520032804
"235",255,20181123,4,"H1","Sample",NA,0.475,4,319.602111229977,63.9204222459953
"236",255,20181123,4,"H2","Sample",NA,0.523,4,365.293267946653,73.0586535893306
"237",255,20181123,4,"H3","Sample",NA,0.47,4,314.842615738656,62.9685231477312
"238",256,20181123,4,"H4","Sample",NA,0.438,4,284.381844594205,56.8763689188411
"239",256,20181123,4,"H5","Sample",NA,0.475,4,319.602111229977,63.9204222459953
"240",256,20181123,4,"H6","Sample",NA,0.473,4,317.698313033448,63.5396626066897
"241",258,20181123,4,"H7","Sample",NA,0.526,4,368.148965241445,73.629793048289
"242",258,20181123,4,"H8","Sample",NA,0.549,4,390.042644501519,78.0085289003039
"243",258,20181123,4,"H9","Sample",NA,0.56,4,400.513534582424,80.1027069164849
"244",259,20181123,4,"H10","Sample",NA,0.56,4,400.513534582424,80.1027069164849
"245",259,20181123,4,"H11","Sample",NA,0.596,4,434.781902119931,86.9563804239863
"246",259,20181123,4,"H12","Sample",NA,0.605,4,443.348994004308,88.6697988008617
"247",273,20181123,5,"A1","Sample",NA,0.567,4,404.896566511,80.9793133021999
