Vial,Date,Run,Well,Sample.Type,Concentration
221,20190123,3,G12,Sample,
222,20190123,3,H1,Sample,
222,20190123,3,H2,Sample,
222,20190123,3,H3,Sample,
229,20190123,3,H4,Sample,
229,20190123,3,H5,Sample,
229,20190123,3,H6,Sample,
230,20190123,3,H7,Sample,
230,20190123,3,H8,Sample,
230,20190123,3,H9,Sample,
231,20190123,3,H10,Sample,
231,20190123,3,H11,Sample,
231,20190123,3,H12,Sample,
238,20190123,4,A1,Sample,
238,20190123,4,A2,Sample,
238,20190123,4,A3,Sample,
239,20190123,4,A4,Sample,
239,20190123,4,A5,Sample,
239,20190123,4,A6,Sample,
240,20190123,4,A7,Sample,
240,20190123,4,A8,Sample,
240,20190123,4,A9,Sample,
256,20190123,4,A10,Sample,
256,20190123,4,A11,Sample,
256,20190123,4,A12,Sample,
257,20190123,4,B1,Sample,
257,20190123,4,B2,Sample,
257,20190123,4,B3,Sample,
258,20190123,4,B4,Sample,
258,20190123,4,B5,Sample,
258,20190123,4,B6,Sample,
265,20190123,4,B7,Sample,
265,20190123,4,B8,Sample,
265,20190123,4,B9,Sample,
266,20190123,4,B10,Sample,
266,20190123,4,B11,Sample,
266,20190123,4,B12,Sample,
267,20190123,4,C1,Sample,
267,20190123,4,C2,Sample,
267,20190123,4,C3,Sample,
274,20190123,4,C4,Sample,
274,20190123,4,C5,Sample,
274,20190123,4,C6,Sample,
275,20190123,4,C7,Sample,
275,20190123,4,C8,Sample,
275,20190123,4,C9,Sample,
276,20190123,4,C10,Sample,
276,20190123,4,C11,Sample,
276,20190123,4,C12,Sample,
283,20190123,4,D1,Sample,
283,20190123,4,D2,Sample,
283,20190123,4,D3,Sample,
284,20190123,4,D4,Sample,
284,20190123,4,D5,Sample,
284,20190123,4,D6,Sample,
285,20190123,4,D7,Sample,
285,20190123,4,D8,Sample,
285,20190123,4,D9,Sample,
292,20190123,4,D10,Sample,
292,20190123,4,D11,Sample,
292,20190123,4,D12,Sample,
293,20190123,4,E1,Sample,
293,20190123,4,E2,Sample,
293,20190123,4,E3,Sample,
294,20190123,4,E4,Sample,
294,20190123,4,E5,Sample,
294,20190123,4,E6,Sample,
301,20190123,4,E7,Sample,
301,20190123,4,E8,Sample,
301,20190123,4,E9,Sample,
302,20190123,4,E10,Sample,
302,20190123,4,E11,Sample,
302,20190123,4,E12,Sample,
303,20190123,4,F1,Sample,
303,20190123,4,F2,Sample,
303,20190123,4,F3,Sample,
310,20190123,4,F4,Sample,
310,20190123,4,F5,Sample,
310,20190123,4,F6,Sample,
311,20190123,4,F7,Sample,
311,20190123,4,F8,Sample,
311,20190123,4,F9,Sample,
312,20190123,4,F10,Sample,
312,20190123,4,F11,Sample,
312,20190123,4,F12,Sample,
319,20190123,4,G1,Sample,
319,20190123,4,G2,Sample,
319,20190123,4,G3,Sample,
320,20190123,4,G4,Sample,
320,20190123,4,G5,Sample,
320,20190123,4,G6,Sample,
321,20190123,4,G7,Sample,
321,20190123,4,G8,Sample,
321,20190123,4,G9,Sample,
328,20190123,4,G10,Sample,
328,20190123,4,G11,Sample,
228,20190123,4,G12,Sample,
329,20190123,4,H1,Sample,
329,20190123,4,H2,Sample,
329,20190123,4,H3,Sample,
