"","coral.lunardate","date.x","lunar.day.x","Vial","coral.id.x","Cells.larvae","treatment","reef.zone","treat.zone","coral.id.y","date.y","lunar.day.y","total.plan","total.plan.sa"
"54","P2 -8",20170715,-8,134,"P2",4840.27777777778,"Ambient","Patch","Patch_AMB","P2","15-Jul",-8,446,1.075892173
"55","P20 -8",20170715,-8,154,"P20",4625,"Hot","Patch","Patch_HOT","P20","15-Jul",-8,618,2.304332386
"56","P20 -8",20170715,-8,155,"P20",5958.33333333333,"Hot","Patch","Patch_HOT","P20","15-Jul",-8,618,2.304332386
"57","P3 -5",20170718,-5,224,"P3",4472.22222222222,"Ambient","Patch","Patch_AMB","P3","18-Jul",-5,122,0.36424814
"58","P3 -5",20170718,-5,225,"P3",3819.44444444444,"Ambient","Patch","Patch_AMB","P3","18-Jul",-5,122,0.36424814
"59","P3 -6",20170717,-6,196,"P3",4006.94444444444,"Ambient","Patch","Patch_AMB","P3","17-Jul",-6,2235,6.672906497
"60","P3 -6",20170717,-6,197,"P3",6770.83333333333,"Ambient","Patch","Patch_AMB","P3","17-Jul",-6,2235,6.672906497
"61","P3 -7",20170716,-7,184,"P3",7236.11111111111,"Ambient","Patch","Patch_AMB","P3","16-Jul",-7,700,2.089948344
"62","P3 -7",20170716,-7,185,"P3",10243.0555555556,"Ambient","Patch","Patch_AMB","P3","16-Jul",-7,700,2.089948344
"63","P3 -8",20170715,-8,136,"P3",5416.66666666667,"Ambient","Patch","Patch_AMB","P3","15-Jul",-8,1107,3.305104024
"64","P3 -8",20170715,-8,137,"P3",4416.66666666667,"Ambient","Patch","Patch_AMB","P3","15-Jul",-8,1107,3.305104024
"65","P3 -9",20170714,-9,100,"P3",7756.94444444444,"Ambient","Patch","Patch_AMB","P3","14-Jul",-9,309,0.922562912
"66","P3 -9",20170714,-9,101,"P3",7013.88888888889,"Ambient","Patch","Patch_AMB","P3","14-Jul",-9,309,0.922562912
"67","P4 -9",20170714,-9,103,"P4",8284.72222222222,"Ambient","Patch","Patch_AMB","P4","14-Jul",-9,211,0.499342624
"68","P4 -9",20170714,-9,104,"P4",6847.22222222222,"Ambient","Patch","Patch_AMB","P4","14-Jul",-9,211,0.499342624
"69","P5 -10",20170713,-10,37,"P5",15631.9444444444,"Ambient","Patch","Patch_AMB","P5","13-Jul",-10,177,0.720767888
"70","P5 -10",20170713,-10,38,"P5",11194.4444444444,"Ambient","Patch","Patch_AMB","P5","13-Jul",-10,177,0.720767888
"71","P5 -8",20170715,-8,139,"P5",4125,"Ambient","Patch","Patch_AMB","P5","15-Jul",-8,1077,4.385689354
"72","P5 -8",20170715,-8,140,"P5",5729.16666666667,"Ambient","Patch","Patch_AMB","P5","15-Jul",-8,1077,4.385689354
"73","R10 -1",20170722,-1,278,"R10",13513.8888888889,"Ambient","Rim","Rim_AMB","R10","22-Jul",-1,99,0.557073955
"74","R10 -1",20170722,-1,279,"R10",17048.6111111111,"Ambient","Rim","Rim_AMB","R10","22-Jul",-1,99,0.557073955
