Date of Patch_HOToto,Date.Release,lunar.day,Colony,Timepoint,Treatment.1,Treatment.2,treat.zone,Treat.zone.2,Reef,Larval_No,Length_1,Width_1,Volume_1,Length_2,Width_2,Shape_class
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.918,0.972,0.654841797,0.972,0.918,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,1.026,1.175,1.195333123,1.175,1.051,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.714,0.661,0.183196783,0.714,0.661,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,5,0.958,0.948,0.678369311,0.958,0.948,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,6,0.808,0.722,0.279908197,0.808,0.722,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,7,0.932,0.864,0.533307645,0.932,0.864,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,8,0.458,0.418,0.030144079,0.458,0.418,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,9,0.765,0.834,0.334790766,0.834,0.765,Circular
20170715,20170715,-8,P5,T1,Ambient,N/A,Patch_AMB,N/A,Patch,10,0.914,0.989,0.672052922,0.989,0.914,Circular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,1,0.711,0.693,0.199675219,0.711,0.693,Irregular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,2,0.954,0.827,0.511948492,0.954,0.827,Circular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,3,0.895,0.764,0.384548647,0.895,0.764,Circular
20170715,20170715,-8,P10,T1,Ambient,N/A,Patch_AMB,N/A,Patch,4,0.678,0.871,0.286823147,0.871,0.678,Circular
