Date,coral.id,Replicate,TUB_ID,Plug_1_num,Plug_2_num,Total_Larvae_in,Settlement_check_date,Tank,Treatment,Type,Sett_P1_TOT,Sett_P2_TOT,Sett_P1_TOP,Sett_P2_TOP
20180711,R-14-B,2,SET #106,959,772,68,20180714,Corral,AMBIENT,EXTRA,4,14,2,5
20180711,P-4-A,1,SET #107,948,962,100,20180714,Corral,AMBIENT,EXTRA,0,13,0,2
20180711,P-4-A,2,SET #108,995,864,73,20180714,Corral,AMBIENT,EXTRA,11,10,1,5
20180711,P-15-B,1,SET #109,960,901,100,20180714,Corral,AMBIENT,EXTRA,1,30,0,15
20180711,P-15-B,2,SET #110,970,720,100,20180714,Corral,AMBIENT,EXTRA,7,8,0,2
20180711,P-15-B,3,SET #111,912,715,100,20180714,Corral,AMBIENT,EXTRA,4,9,4,0
20180711,P-19-B,1,SET #112,951,997,100,20180714,Corral,AMBIENT,EXTRA,16,14,7,12
20180711,P-19-B,2,SET #113,899,950,100,20180714,Corral,AMBIENT,EXTRA,6,2,0,0
20180712,R-15-A,1,SET #114,1027,709,100,20180715,Corral,AMBIENT,EXTRA,26,31,2,8
20180712,R-9-B,1,SET #115,701,890,97,20180715,Corral,AMBIENT,EXTRA,3,18,0,4
20180712,R-7-A,1,SET #116,872,956,100,20180715,Corral,AMBIENT,EXTRA,6,3,0,0
20180712,R-8-A,1,SET #117,887,972,60,20180715,Corral,AMBIENT,EXTRA,34,5,22,3
20180712,R-14-B,1,SET #118,744,1025,100,20180715,Corral,AMBIENT,EXTRA,2,25,0,18
20180712,R-14-B,2,SET #119,963,884,100,20180715,Corral,AMBIENT,EXTRA,0,0,0,0
20180712,P-10-A,1,SET #120,910,882,100,20180715,Corral,AMBIENT,EXTRA,9,0,1,0
20180712,P-10-A,2,SET #121,1018,714,100,20180715,Corral,AMBIENT,EXTRA,0,0,0,0
20180712,P-10-A,3,SET #122,922,891,100,20180715,Corral,AMBIENT,EXTRA,0,0,0,0
20180712,P-10-A,4,SET #123,1033,726,79,20180715,Corral,AMBIENT,EXTRA,0,0,0,0
20180712,P-19-A,1,SET #124,723,894,100,20180715,Corral,AMBIENT,EXTRA,12,4,1,0
20180712,P-19-A,2,SET #125,1012,979,100,20180715,Corral,AMBIENT,EXTRA,7,0,0,0
20180712,P-19-A,3,SET #126,931,954,100,20180715,Corral,AMBIENT,EXTRA,0,5,0,0
20180712,P-4-A,1,SET #127,881,703,100,20180715,Corral,AMBIENT,EXTRA,1,0,0,0
20180712,P-4-A,2,SET #128,999,888,71,20180715,Corral,AMBIENT,EXTRA,5,1,0,0
20180712,P-14-B,1,SET #129,972,937,60,20180715,Corral,AMBIENT,EXTRA,7,3,1,0
20180712,P-12-A,1,SET #130,892,945,100,20180715,Corral,AMBIENT,EXTRA,31,3,10,0
20180712,P-16-A,1,SET #131,955,973,100,20180715,Corral,AMBIENT,EXTRA,2,5,0,0
20180713,R-7-B,1,SET #132,674,557,63,20180716,Corral,AMBIENT,EXTRA,0,2,0,0
20180713,R-19-B,1,SET #133,602,699,100,20180716,Corral,AMBIENT,EXTRA,4,10,1,2
20180713,R-19-B,2,SET #134,617,632,52,20180716,Corral,AMBIENT,EXTRA,0,3,0,2
20180713,P-6-B,1,SET #135,614,685,100,20180716,Corral,AMBIENT,EXTRA,22,12,10,0
20180713,R-14-B,1,SET #136,673,546,100,20180716,Corral,AMBIENT,EXTRA,5,25,0,12
20180713,R-14-B,2,SET #137,514,59,100,20180716,Corral,AMBIENT,EXTRA,16,23,1,4
20180713,R-14-B,3,SET #138,494,696,100,20180716,Corral,AMBIENT,EXTRA,14,12,0,3
20180713,R-14-B,4,SET #139,547,1009,100,20180716,Corral,AMBIENT,EXTRA,33,29,9,14
20180713,R-14-B,5,SET #140,604,671,100,20180716,Corral,AMBIENT,EXTRA,13,13,7,5
20180713,P-19-A,1,SET #141,569,652,87,20180716,Corral,AMBIENT,EXTRA,1,1,0,0
20180714,R-8-A,1,SET #142,812,843,100,20180717,Corral,AMBIENT,EXTRA,7,14,7,11
20180714,R-7-A,1,SET #143,768,809,100,20180717,Corral,AMBIENT,EXTRA,2,11,2,3
